Organization Name,Organization Name URL,Company Type,IPO Status,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
Iconic Finance,https://www.crunchbase.com/organization/novi-finance,For Profit,Private,Pre-Seed,"Advice, Consulting, Finance, Financial Services, FinTech, Insurance","Iconic is high rewards banking (2.1% cash back on credit card purchases with up to 8.00% bonus cash back, plus 1.0% APY on savings pockets) paired with personalized 24/7 financial planning, built by CFPs.","San Francisco, California, United States",1-10,Active,3045000,USD,3045000,3045000,USD,3045000,2019-06-12,contact@fixbanking.com
Fundid,https://www.crunchbase.com/organization/fundid,For Profit,Private,Pre-Seed,"Financial Services, FinTech, Micro Lending, Small and Medium Businesses",Fundid is empowering business owners on their growth journeys by simplifying business finance & access to capital. Fundid was founded by Stefanie Sample in 2021.,"Missoula, Montana, United States",1-10,Active,5250000,USD,5250000,2000000,USD,2000000,2022-08-05,contact@getfundid.com
Devengo,https://www.crunchbase.com/organization/devengo,For Profit,Private,Seed,"Financial Services, FinTech, Payments","Devengo is a B2B API that helps its clients orchestrate fast and programmable payouts using next-generation payment protocols. Devengo increases customer loyalty by paying them at light speed. With Devengo, clients can also obtain real-time detailed information to manage errors and incidents immediately, as well as retry and re-route failed payments with minimal effort.","Madrid, Madrid, Spain",11-50,Active,2914078,EUR,3213332,1200000,EUR,1250178,2022-11-23,hola@devengo.com
BlockSpaces,https://www.crunchbase.com/organization/blockspaces,For Profit,Private,Seed,"Bitcoin, Blockchain, FinTech, Infrastructure, Lighting","BlockSpaces has developed a market leading platform that integrates lightning-fast Bitcoin payments to existing enterprise ERP systems.  The company was founded in 2017 and is headquartered in Tampa, Florida.","Tampa, Florida, United States",11-50,Active,7260000,USD,7260000,5750000,USD,5750000,2022-01-03,contact@blockspaces.io
Savyour,https://www.crunchbase.com/organization/savyour,For Profit,Private,Seed,"Affiliate Marketing, E-Commerce, FinTech","Savyour is Pakistan’s first cashback platform and pay-per-sale affiliate marketing network. Launched in August 2020, the app has completed nearly 200,000 orders, has over 300 partner brands on board and accumulated over one million users till date. Besides major brands like Daraz, foodpanda, elo and Naheed.pk, Savyour is also enabling smaller businesses to register on the application without any upfront cost and giving them access to a much larger target audience. Consumers also get the opportunity to shop from and allow small/medium businesses to grow and prosper. Cashback is an easy way for consumers to earn cash. They shop as usual and earn a certain percentage of the amount they have spent. What customers save in their Savyour wallet is hard cash, which they can redeem directly into their bank account as soon as they hit a minimum of 200 rupees. They are not bound to spend this amount on the Savyour app only and are free to utilize it as per their own discretion.","Karachi, Sindh, Pakistan",51-100,Active,3300000,USD,3300000,3300000,USD,3300000,2021-11-09,care@savyour.com
Risika,https://www.crunchbase.com/organization/risika-aps,For Profit,Private,Seed,"Big Data, Business Intelligence, Credit, Database, FinTech, Information Services, Information Technology, Risk Management, SaaS, Software","Risika is a financial technology company founded in 2017 with a vision to challenge the long-lasting status quo in the financial risk management industry. Today, the CFO needs to be in the driver’s seat when it comes to translating internal and external data into solid decision-making using secure algorithms. Our team of experts within the fields of financial auditing, data science and computer science will make sure all solutions are customisable, automated and 100% reliable","Copenhagen, Hovedstaden, Denmark",11-50,Active,7928247,USD,7928247,5000000,EUR,5666897,2021-12-16,contact@risika.dk
OWWN,https://www.crunchbase.com/organization/wajve,For Profit,Private,Seed,"Apps, Banking, Financial Services, FinTech, Mobile","OWWN is a banking app that provides a one-stop shop for young adults to manage their finances. It allows customers to maintain an account with a Visa debit card and make mobile payments, just like a typical bank, but they can also apply for a student loan from Kfw Bank. At the same time, they can create shared savings pools, anonymously compare their budgets with friends, and participate in challenges. Users can use Owwn alone or collectively.","Berlin, Berlin, Germany",11-50,Active,5000000,EUR,6086375,5000000,EUR,6086375,2021-06-10,hello@owwn.com
Altscore,https://www.crunchbase.com/organization/altscore,For Profit,Private,Seed,"Commercial Lending, Financial Services, FinTech, Lending, Micro Lending","AltScore provides lending infrastructure APIs for lenders, retailers and SaaS companies to embed and deploy credit products in days. Companies offering credit, can leverage our end to end lending-as-a-service (LaaS) solution to provide capital to their own customers. Existing lenders use any of our LaaS APIs to increase their loan origination rates.","Mexico City, Distrito Federal, Mexico",11-50,Active,3920000,USD,3920000,3500000,USD,3500000,2022-10-20,contact@altscore.ai
Polkadex,https://www.crunchbase.com/organization/polkadex,For Profit,Private,Seed,"Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform","Polkadex is a fully decentralized peer-to-peer orderbook-based cryptocurrency exchange for the DeFi ecosystem built on Substrate. The long-term vision for Polkadex is to interoperate with all blockchain ecosystems to bring assets to trade, not just Polkadot and Ethereum, and create the next generation of regulated decentralized exchange without compromising user experience. The matured version of Polkadex will look like NYSC with crypto for trading, Polkadex be the go-to exchange for people to trade public company shares, crypto and fiat-fiat. At the same time, without compromising user experience and regulatory compliance.","Tallinn, Harjumaa, Estonia",11-50,Active,3500000,USD,3500000,3500000,USD,3500000,2021-01-15,business@polkadex.trade
dimply,https://www.crunchbase.com/organization/dimply,For Profit,Private,Seed,"Financial Services, FinTech, Information Technology, Software","Dimply builds the bridge between large financial businesses and individual customers. Giving the organisation agile infrastructure, powerful intelligence and control, and pathways to meaningful interactions. By providing the customer with smart, personalised, financial experiences. Our mission is to help people think and feel better about money. And in doing so to power a healthier financial future for them, and for the world.","Dublin, Dublin, Ireland",11-50,Active,3145000,EUR,3426455,1000000,EUR,972149,2022-10-15,colm.mcloughlin@dimply.ai
HIFI Bridge,https://www.crunchbase.com/organization/hifi-bridge,For Profit,Private,Pre-Seed,"Cryptocurrency, FinTech, Payments","HiFi Bridge is an embedded B2B payments platform that allows merchants to transact with cryptocurrencies, trade digital assets, and connect their business accounts all-in-one. The startup offers cryptocurrency, digital assets exchanges, as well as cash management accounts. The company provides the accessibility for traditional financial systems to gain access to modern decentralized finance tools through it's mobile and web platforms. HiFi Bridge's mission is to power the future of commerce and payments by redefining the digital asset ecosystem. Zach Walsh and Mohamed Afifi founded the company in New York City in 2021.","New York, New York, United States",1-10,Active,550000,USD,550000,175000,USD,175000,2023-05-15,info@hifibridge.com
Little Wallet,https://www.crunchbase.com/organization/little-wallet,For Profit,Private,Pre-Seed,"Banking, Debit Cards, Education, Financial Services, FinTech, Mobile Apps","A money management app designed to teach teens and kids the value of money, how to learn, earn, budget and save in a fun way with a touch of gamification! The sooner children learn about money, the more independent and responsible they will be in adulthood. *Little Wallet is a financial technology company, not a bank. Banking services provided by legitimate financial institution, regulated by the Monetary Authority of Singapore (MAS).","Singapore, Central Region, Singapore",11-50,Active,1600000,USD,1600000,1600000,USD,1600000,2023-03-30,contactus@littlewallet.co
GlobeDX,https://www.crunchbase.com/organization/globe-dx,For Profit,Private,Seed,"Blockchain, Financial Services, FinTech","The startup, which has dubbed itself the “Coinbase for derivatives,” has built a cryptocurrency-derivative exchange that supports high-frequency trading. The platform allows crypto holders to trade global markets with bitcoin and grants users the same access to data leveraged by institutional investors.","London, England, United Kingdom",1-10,Active,21150000,USD,21150000,18000000,USD,18000000,2021-04-28,
