Organization Name,Organization Name URL,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
IFundWomen,https://www.crunchbase.com/organization/ifundwomen,Seed,"Financial Services, FinTech, Marketplace, Women's","IFundWomen is the go-to funding marketplace for women entrepreneurs providing access to capital through crowdfunding, corporate grants, and loans; expert business coaching on all the topics entrepreneurs need to know about; and lucrative connections through a network of women business owners that spark confidence, accelerate knowledge and ignite action.","New York, New York, United States",11-50,Active,2425000,USD,2425000,2425000,USD,2425000,2019-03-31,karen@ifundwomen.com
Rubi Labs,https://www.crunchbase.com/organization/rubilink-9589,Seed,"FinTech, Information Technology, Software","A private blockchain developer and provider that is tailored specifically for corporate clients by providing a microservice that includes data storage and management, data processing, and bypassing payment requests.","Tokyo, Tokyo, Japan",1-10,Active,1577787,USD,1577787,1500000,USD,1500000,2023-03-15,support@rubilink.io
VSure.life,https://www.crunchbase.com/organization/vsure-life,Seed,"Financial Services, FinTech, Insurance, InsurTech, Life Insurance","ABOUT VSure.life (VSure Tech Sdn Bhd) VSure.life aspires to be the leading South East Asia’s virtual insurer providing On-Demand Lifestyle Protection and to make insurance truly personal, highly relevant and seamlessly integrated to our modern lifestyles. VSure.life is a multi-channel digital platform that offers curated lifestyles insurance protection, unique mutual financial aid protection program and pay-per-use utility based insurance with flexible duration (as short as per hour) and you are free to choose how much you want to pay and be covered for! Making it highly accessible and affordable within your means. VSure.life has passed the Malaysia Central Bank – Bank Negara Malaysia (BNM) Sandbox Stage 1 – eligibility criteria to test OnDemand Lifestyles Protection (OnDemand Sports PA – Flexifit) and now progressing into finalizing Stage 2 – Operationalization and Commercial Live testing. VSure.life has obtained the approval from the Malaysia Central Bank (BNM) as the first OnDemand Lifestyle Digital Insurer under the BNM Fintech Sandbox Framework.","Kuala Lumpur, Kuala Lumpur, Malaysia",11-50,Active,3130000,USD,3130000,3000000,USD,3000000,2021-04-18,info@vsure.life
WealthDesk,https://www.crunchbase.com/organization/wealthdesk,Seed,"Financial Services, FinTech, Wealth Management","WealthDesk is a platform that lets you invest in systematic, modern Investment products previously inaccessible that help you build long term and short term portfolios in a low-cost, transparent easy manner. Transparent. Safe. Profitable.","Mumbai, Maharashtra, India",11-50,Active,3200000,USD,3200000,3200000,USD,3200000,2021-06-24,
Lumina,https://www.crunchbase.com/organization/luminaapp,Seed,"Financial Services, FinTech, Software","The operating system for digital assets. Confidently navigate the fragmented digital assets landscape with the most comprehensive crypto-native financial platform. Lumina is trusted by leading investment funds, enterprises, and professionals who demand an institutional-grade solution.","San Francisco, California, United States",1-10,Active,4000000,USD,4000000,4000000,USD,4000000,2018-10-02,inquiries@lumina.app
Apata,https://www.crunchbase.com/organization/apata,Seed,"Finance, Financial Services, FinTech",,"Dublin, Dublin, Ireland",11-50,Active,5000000,USD,5000000,5000000,USD,5000000,2023-05-05,
NFTpay,https://www.crunchbase.com/organization/nftpay,Seed,"Financial Services, FinTech, Payments, Software, Trading Platform",,"Miami, Florida, United States",1-10,Active,3000000,USD,3000000,3000000,USD,3000000,2021-10-01,support@nftpay.xyz
Responsive,https://www.crunchbase.com/organization/responsive-capital-management-2,Series A,"Advice, Asset Management, Finance, Financial Services, FinTech, Wealth Management",Responsive is a hybrid wealth advisor solution for banks and private managers.  Our difference is behavioral insights that enable advisors to identify and act on client opportunities and risks. Our promise is to grow client wealth and loyalty by capturing “moments that matter”.,"Vancouver, British Columbia, Canada",11-50,Active,3870343,USD,3870343,3500000,CAD,2776753,2022-04-19,info@responsive.ai
Fraxtor,https://www.crunchbase.com/organization/fraxtor,Seed,"Financial Services, FinTech, Real Estate Investment","Fraxtor is a blockchain-enable real estate co-investment platform, where investors are able to invest in global real estate opportunities from as low as $10,000. Fraxtor's bespoke platform manages the issuance of digital securities allowing investors to create their own global real estate portfolio.","Singapore, Central Region, Singapore",1-10,Active,1300000,USD,1300000,1300000,USD,1300000,2021-11-09,contact@fraxtor.com
Pillar,https://www.crunchbase.com/organization/pillar-app,Seed,"Financial Services, FinTech, Internet, Personal Finance",Acquired by Acorns in 2021,"New York, New York, United States",11-50,Active,7000000,USD,7000000,1500000,USD,1500000,2020-10-21,support@pillarlife.com
Jet Protocol Holdings,https://www.crunchbase.com/organization/jet-protocol-holdings,Seed,"Blockchain, Financial Services, FinTech, Lending","Jet Protocol Holdings offers a borrowing agreement focusing on innovative loan products and cross-chain interest rate arbitrage, allowing users to simplify borrowing and lending transactions.","Greenwich, Connecticut, United States",1-10,Active,11600000,USD,11600000,6800000,USD,6800000,2021-11-08,
X Co,https://www.crunchbase.com/organization/x-co,Seed,"Blockchain, Cloud Computing, Financial Services, FinTech, Gaming, Hospitality, IT Infrastructure, Software, Venture Capital","From our beginnings in 2020, we had a broader vision that we call Nevada 2025. Our mission is to accelerate early stage tech startups in emerging US technology ecosystems.","Reno, Nevada, United States",11-50,Active,2000000,USD,2000000,2000000,USD,2000000,2020-01-09,info@x-co.io
Obsidiam,https://www.crunchbase.com/organization/obsidiam,Seed,"Bitcoin, Blockchain, Cryptocurrency, Financial Exchanges, Financial Services, FinTech, Information Technology, Payments, Real Estate","Obsidiam is a fintech company that leverages blockchain technology to provide financial and commercial services in Latin America. Its services include cryptocurrency custody, exchange, escrow, and payments. The firm is based in San José, Costa Rica, and within the jurisdiction of Free Trade Zone companies. Obsidiam’s goal is to be a promoter of blockchain technology for the benefit and inclusion of the Latin American community.  Through its products, Obsidiam offers an ecosystem that allows users access and usability of cryptocurrencies as an investment tool, and most importantly, in their everyday lives: paying for goods and services, sending payments to friends and family, cashing in, and cashing out.","Santa Ana, San Jose, Costa Rica",11-50,Active,4000000,USD,4000000,2500000,USD,2500000,2022-01-01,francisco.uzcategui@obsidiam.com
Navian Tech UK,https://www.crunchbase.com/organization/scandinavian-capital-holdings,Seed,"FinTech, Information Technology, Property Development","We believe that the future of property development is digital, automated, data and AI-driven, transforming how the property market operates. Founded 2020 in Sweden with our HQ in Stockholm, Navian’s subsidiary companies offer Proptech and Fintech solution platforms for property investors and developers. Navian holds seven different Proptechsolutions within our portfolio that, when put together, create a stand-alone ecosystem that aims to offer the most efficient and intelligent solutions for the next generation of property investments and developments.","London, England, United Kingdom",1-10,Active,28000000,SEK,2644422,28000000,SEK,2644422,2023-02-08,info@naviangroup.com
Flexee,https://www.crunchbase.com/organization/flexee,Seed,"Banking, Financial Services, FinTech, Human Resources, Software",Flexee is an online application and employees can reach for earned money on any day of the month up to the amount of earned remuneration. They contribute to a greater sense of security for financial gain.,"Warsaw, Mazowieckie, Poland",11-50,Active,3750000,USD,3750000,3000000,USD,3000000,2022-04-30,hello@flexee.eu
